block_id,session_id,block_order,block_type,source_block_name,volume_m,prescription_text,zones,styles,materials,skills,parse_origin,machine_status,source_sheet,source_row
RKF-10-12-09-B02,RKF-10-12-09,2,Desenvolvimento,Bloco 2,2800,"2800: 2x[100+200+300+400+300+200+100]; 1ª escada A1→A2→A1, 2ª A1→A2 forte→A1",A2|A1,,,,structured_from_source,READY,Treinos_10_12,10
RKF-10-12-09-B03,RKF-10-12-09,3,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,10
RKF-10-12-10-B01,RKF-10-12-10,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,11
RKF-10-12-10-B02,RKF-10-12-10,2,Desenvolvimento,Bloco 2,1200,1200: 3x[4x50 perna progressivos 1–4 + 200 nado A2],A2,,,Perna,structured_from_source,READY,Treinos_10_12,11
RKF-10-12-10-B03,RKF-10-12-10,3,Desenvolvimento,Bloco 3,800,800: 8x100 = 25 perna forte + 75 nado,,,,Perna,structured_from_source,READY,Treinos_10_12,11
RKF-10-12-10-B04,RKF-10-12-10,4,Desenvolvimento,Bloco 4,800,800: 4x200 livre/costas negative split,,Livre/Crawl|Costas,,,structured_from_source,READY,Treinos_10_12,11
RKF-10-12-10-B05,RKF-10-12-10,5,Regenerativo,Regenerativo,100,100 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,11
RKF-10-12-11-B01,RKF-10-12-11,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,12
RKF-10-12-11-B02,RKF-10-12-11,2,Desenvolvimento,Bloco 2,2800,2800: 3x8x100 + 200 fácil entre blocos (2x200); B1 progressivos 1–4 x2; B2 2 A1 + 2 A2 + 2 A2 forte + 2 rápidos técnicos; B3 alternar livre/costas aumentando a velocidade a cada par,A2|A1,Livre/Crawl|Costas,,,structured_from_source,READY,Treinos_10_12,12
RKF-10-12-11-B03,RKF-10-12-11,3,Desenvolvimento,Bloco 3,200,200: 2x100 = 50 perna + 50 nado,,,,Perna,structured_from_source,READY,Treinos_10_12,12
RKF-10-12-11-B04,RKF-10-12-11,4,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,12
RKF-10-12-12-B01,RKF-10-12-12,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,13
RKF-10-12-12-B02,RKF-10-12-12,2,Desenvolvimento,Bloco 2,2400,2400: 6x400 — #1 A1; #2 200 livre+200 costas; #3 4x100 progressivos; #4 100 perna+300 nado; #5 200 pull+200 nado; #6 negative split,A1,Livre/Crawl|Costas,,Perna,structured_from_source,READY,Treinos_10_12,13
RKF-10-12-12-B03,RKF-10-12-12,3,Desenvolvimento,Bloco 3,600,600: 6x100 medley técnico,,Medley,,,structured_from_source,READY,Treinos_10_12,13
RKF-10-12-12-B04,RKF-10-12-12,4,Regenerativo,Regenerativo,500,500 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,13
RKF-10-12-13-B01,RKF-10-12-13,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,14
RKF-10-12-13-B02,RKF-10-12-13,2,Desenvolvimento,Bloco 2,900,900: 3x300 A2,A2,,,,structured_from_source,READY,Treinos_10_12,14
RKF-10-12-13-B03,RKF-10-12-13,3,Desenvolvimento,Bloco 3,1200,1200: 6x200 A2 progressivo,A2,,,,structured_from_source,READY,Treinos_10_12,14
RKF-10-12-13-B04,RKF-10-12-13,4,Desenvolvimento,Bloco 4,400,400: 4x100 progressivos 1–4,,,,,structured_from_source,READY,Treinos_10_12,14
RKF-10-12-13-B05,RKF-10-12-13,5,Desenvolvimento,Bloco 5,400,400: 8x50 = 25 rápido + 25 fácil,,,,,structured_from_source,READY,Treinos_10_12,14
RKF-10-12-13-B06,RKF-10-12-13,6,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,14
RKF-10-12-14-B01,RKF-10-12-14,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,15
RKF-10-12-14-B02,RKF-10-12-14,2,Desenvolvimento,Bloco 2,1200,"1200: 3 rounds de 400; cada round = 100 estilo técnico + 4x50 estilo/nado + 4x25 velocidade curta; borboleta, costas e peito",,Costas|Peito|Borboleta,,,structured_from_source,READY,Treinos_10_12,15
RKF-10-12-14-B03,RKF-10-12-14,3,Desenvolvimento,Bloco 3,800,800: 4x200 livre A2,A2,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,15
RKF-10-12-14-B04,RKF-10-12-14,4,Desenvolvimento,Bloco 4,200,200: 8x25 livre velocidade curta com recuperação ampla,,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,15
RKF-10-12-14-B05,RKF-10-12-14,5,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,15
RKF-10-12-15-B01,RKF-10-12-15,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,16
RKF-10-12-15-B02,RKF-10-12-15,2,Desenvolvimento,Bloco 2,800,800 A1/A2,A2|A1,,,,structured_from_source,READY,Treinos_10_12,16
RKF-10-12-15-B03,RKF-10-12-15,3,Desenvolvimento,Bloco 3,800,800: 2x400 A2,A2,,,,structured_from_source,READY,Treinos_10_12,16
RKF-10-12-15-B04,RKF-10-12-15,4,Desenvolvimento,Bloco 4,600,600: 3x200 A2 progressivos,A2,,,,structured_from_source,READY,Treinos_10_12,16
RKF-10-12-15-B05,RKF-10-12-15,5,Desenvolvimento,Bloco 5,400,400: 4x100 progressivos 1–4,,,,,structured_from_source,READY,Treinos_10_12,16
RKF-10-12-15-B06,RKF-10-12-15,6,Desenvolvimento,Bloco 6,200,200: 4x50 velocidade curta,,,,,structured_from_source,READY,Treinos_10_12,16
RKF-10-12-15-B07,RKF-10-12-15,7,Desenvolvimento,Bloco 7,100,100: 4x25 técnica/saída,,,,,structured_from_source,READY,Treinos_10_12,16
RKF-10-12-15-B08,RKF-10-12-15,8,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,16
RKF-10-12-16-B01,RKF-10-12-16,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,17
RKF-10-12-16-B02,RKF-10-12-16,2,Desenvolvimento,Bloco 2,900,900: 3x300 = 100 perna + 100 pull + 100 nado,,,,Perna,structured_from_source,READY,Treinos_10_12,17
RKF-10-12-16-B03,RKF-10-12-16,3,Desenvolvimento,Bloco 3,600,600: 3x200 = 50 perna + 50 braço + 100 nado progressivo,,,,Perna,structured_from_source,READY,Treinos_10_12,17
RKF-10-12-16-B04,RKF-10-12-16,4,Desenvolvimento,Bloco 4,600,600: 6x100 = 25 perna + 25 braço + 50 nado,,,,Perna,structured_from_source,READY,Treinos_10_12,17
RKF-10-12-16-B05,RKF-10-12-16,5,Desenvolvimento,Bloco 5,400,400: 4x100 livre A2 forte técnico,A2,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,17
RKF-10-12-16-B06,RKF-10-12-16,6,Regenerativo,Regenerativo,500,500 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,17
RKF-10-12-17-B01,RKF-10-12-17,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,18
RKF-10-12-17-B02,RKF-10-12-17,2,Desenvolvimento,Bloco 2,1600,1600: 4x400 negative split,,,,,structured_from_source,READY,Treinos_10_12,18
RKF-10-12-17-B03,RKF-10-12-17,3,Desenvolvimento,Bloco 3,900,900: 3x300 = 200 A1/A2 + 100 A2 forte,A2|A1,,,,structured_from_source,READY,Treinos_10_12,18
RKF-10-12-17-B04,RKF-10-12-17,4,Desenvolvimento,Bloco 4,400,400: 2x200 progressivos,,,,,structured_from_source,READY,Treinos_10_12,18
RKF-10-12-17-B05,RKF-10-12-17,5,Desenvolvimento,Bloco 5,200,200: 2x100 estilos técnicos,,,,,structured_from_source,READY,Treinos_10_12,18
RKF-10-12-17-B06,RKF-10-12-17,6,Desenvolvimento,Bloco 6,100,100: 4x25 aceleração,,,,,structured_from_source,READY,Treinos_10_12,18
RKF-10-12-17-B07,RKF-10-12-17,7,Regenerativo,Regenerativo,100,100 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,18
RKF-10-12-18-B01,RKF-10-12-18,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,19
RKF-10-12-18-B02,RKF-10-12-18,2,Desenvolvimento,Bloco 2,1800,1800: 3x broken 600 — B1 3x200; B2 6x100; B3 12x50; melhorar técnica à medida que a distância diminui,,,,,structured_from_source,READY,Treinos_10_12,19
RKF-10-12-18-B03,RKF-10-12-18,3,Desenvolvimento,Bloco 3,400,400: 8x50 saída/breakout/virada,,,,Breakout,structured_from_source,READY,Treinos_10_12,19
RKF-10-12-18-B04,RKF-10-12-18,4,Desenvolvimento,Bloco 4,400,400: 4x100 = 50 perna + 50 nado,,,,Perna,structured_from_source,READY,Treinos_10_12,19
RKF-10-12-18-B05,RKF-10-12-18,5,Regenerativo,Regenerativo,100,100 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,19
RKF-10-12-19-B01,RKF-10-12-19,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,20
RKF-10-12-19-B02,RKF-10-12-19,2,Desenvolvimento,Bloco 2,1800,1800: 3x600 — #1 300 livre+300 costas; #2 200 livre+200 IM+200 livre; #3 100 perna+200 nado+100 pull+200 nado,,Livre/Crawl|Costas,,Perna,structured_from_source,READY,Treinos_10_12,20
RKF-10-12-19-B03,RKF-10-12-19,3,Desenvolvimento,Bloco 3,1200,1200: 8x150 = 50 estilo + 100 livre A2,A2,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,20
RKF-10-12-19-B04,RKF-10-12-19,4,Desenvolvimento,Bloco 4,400,400: 8x50 progressivos 1–4,,,,,structured_from_source,READY,Treinos_10_12,20
RKF-10-12-19-B05,RKF-10-12-19,5,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,20
RKF-10-12-20-B01,RKF-10-12-20,1,Aquecimento,Aquecimento,600,600 variado,,,,,structured_from_source,READY,Treinos_10_12,21
RKF-10-12-20-B02,RKF-10-12-20,2,Desenvolvimento,Bloco 2,400,400: 8x50 perna variados,,,,Perna,structured_from_source,READY,Treinos_10_12,21
RKF-10-12-20-B03,RKF-10-12-20,3,Desenvolvimento,Bloco 3,600,600: 4x150 pull/nado,,,,,structured_from_source,READY,Treinos_10_12,21
RKF-10-12-20-B04,RKF-10-12-20,4,Desenvolvimento,Bloco 4,800,800: 400 A1 + 4x100 progressivos,A1,,,,structured_from_source,READY,Treinos_10_12,21
RKF-10-12-20-B05,RKF-10-12-20,5,Desenvolvimento,Bloco 5,600,600: 3x200 A2 negative split,A2,,,,structured_from_source,READY,Treinos_10_12,21
RKF-10-12-20-B06,RKF-10-12-20,6,Desenvolvimento,Bloco 6,400,400: 8x50 estilo/livre,,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,21
RKF-10-12-20-B07,RKF-10-12-20,7,Desenvolvimento,Bloco 7,200,200: 8x25 alternando velocidade curta e técnico,,,,,structured_from_source,READY,Treinos_10_12,21
RKF-10-12-20-B08,RKF-10-12-20,8,Desenvolvimento,Bloco 8,200,200: 2x100 medley técnico,,Medley,,,structured_from_source,READY,Treinos_10_12,21
RKF-10-12-20-B09,RKF-10-12-20,9,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,21
RKF-10-12-21-B01,RKF-10-12-21,1,Aquecimento,Aquecimento,600,600 aquecimento: 200 livre + 200 IM drill + 4x50 progressivos,,Livre/Crawl|Medley,,,structured_from_source,READY,Treinos_10_12,22
RKF-10-12-21-B02,RKF-10-12-21,2,Desenvolvimento,Bloco 2,800,800: 4x200 IM = 50 drill + 50 nado por estilo,,Medley,,,structured_from_source,READY,Treinos_10_12,22
RKF-10-12-21-B03,RKF-10-12-21,3,Desenvolvimento,Bloco 3,800,"800: 8x100 IM progressivos 1–4, repetir 2x",,Medley,,,structured_from_source,READY,Treinos_10_12,22
RKF-10-12-21-B04,RKF-10-12-21,4,Desenvolvimento,Bloco 4,800,800: 4x200 = 100 IM + 100 livre A2,A2,Livre/Crawl|Medley,,,structured_from_source,READY,Treinos_10_12,22
RKF-10-12-21-B05,RKF-10-12-21,5,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,22
RKF-10-12-22-B01,RKF-10-12-22,1,Aquecimento,Aquecimento,600,600 aquecimento variado + 200 IM técnico,,Medley,,,structured_from_source,READY,Treinos_10_12,23
RKF-10-12-22-B02,RKF-10-12-22,2,Desenvolvimento,Bloco 2,800,800: 4x200 perna = 50 borbo+50 costas+50 peito+50 livre,,Livre/Crawl|Costas|Peito|Borboleta,,Perna,structured_from_source,READY,Treinos_10_12,23
RKF-10-12-22-B03,RKF-10-12-22,3,Desenvolvimento,Bloco 3,1200,1200: 4x300 = 100 IM +100 livre A2 +100 IM progressivo,A2,Livre/Crawl|Medley,,,structured_from_source,READY,Treinos_10_12,23
RKF-10-12-22-B04,RKF-10-12-22,4,Desenvolvimento,Bloco 4,600,600: 8x75 =25 perna estilo+25 nado estilo+25 livre,,Livre/Crawl,,Perna,structured_from_source,READY,Treinos_10_12,23
RKF-10-12-22-B05,RKF-10-12-22,5,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,23
RKF-10-12-23-B01,RKF-10-12-23,1,Aquecimento,Aquecimento,600,600 aquecimento,,,,,structured_from_source,READY,Treinos_10_12,24
RKF-10-12-23-B02,RKF-10-12-23,2,Desenvolvimento,Bloco 2,1800,"1800: 2x[100 IM+200 IM+300 (100 IM+200 livre)+200 IM+100 IM], 2ª volta mais rápida",,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,24
RKF-10-12-23-B03,RKF-10-12-23,3,Desenvolvimento,Bloco 3,800,800: 8x100 IM progressivos 1–4 x2,,Medley,,,structured_from_source,READY,Treinos_10_12,24
RKF-10-12-23-B04,RKF-10-12-23,4,Desenvolvimento,Bloco 4,400,400: 8x50 estilo forte técnico/livre fácil,,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,24
RKF-10-12-23-B05,RKF-10-12-23,5,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,24
RKF-10-12-24-B01,RKF-10-12-24,1,Aquecimento,Aquecimento,600,600 aquecimento,,,,,structured_from_source,READY,Treinos_10_12,25
RKF-10-12-24-B02,RKF-10-12-24,2,Desenvolvimento,Bloco 2,1600,1600: 4x[4x100]: IM técnico / 50 estilo+50 livre / IM A2 / IM progressivo,A2,Livre/Crawl|Medley,,,structured_from_source,READY,Treinos_10_12,25
RKF-10-12-24-B03,RKF-10-12-24,3,Desenvolvimento,Bloco 3,800,"800: 8x100 progressivos 1–4, variando estilos e IM",,,,,structured_from_source,READY,Treinos_10_12,25
RKF-10-12-24-B04,RKF-10-12-24,4,Desenvolvimento,Bloco 4,400,400: 8x50 perna 4 estilos,,,,Perna,structured_from_source,READY,Treinos_10_12,25
RKF-10-12-24-B05,RKF-10-12-24,5,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,25
RKF-10-12-25-B01,RKF-10-12-25,1,Aquecimento,Aquecimento,600,600 aquecimento,,,,,structured_from_source,READY,Treinos_10_12,26
RKF-10-12-25-B02,RKF-10-12-25,2,Desenvolvimento,Bloco 2,2400,2400: 6x400: A1 IM fracionado; 200 IM+200 livre; 100 perna IM+300 nado; 200 pull+200 IM; 4x100 IM progressivos; 50 estilo/50 livre x4,A1,Livre/Crawl|Medley,,Perna,structured_from_source,READY,Treinos_10_12,26
RKF-10-12-25-B03,RKF-10-12-25,3,Desenvolvimento,Bloco 3,600,"600: 6x100 IM técnico, transições",,Medley,,,structured_from_source,READY,Treinos_10_12,26
RKF-10-12-25-B04,RKF-10-12-25,4,Regenerativo,Regenerativo,400,400 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,26
RKF-10-12-26-B01,RKF-10-12-26,1,Aquecimento,Aquecimento,600,600 aquecimento,,,,,structured_from_source,READY,Treinos_10_12,27
RKF-10-12-26-B02,RKF-10-12-26,2,Desenvolvimento,Bloco 2,800,800: 4x200 =100 borbo/costas+100 livre A2,A2,Livre/Crawl|Costas|Borboleta,,,structured_from_source,READY,Treinos_10_12,27
RKF-10-12-26-B03,RKF-10-12-26,3,Desenvolvimento,Bloco 3,800,800: 4x200 =100 peito/livre+100 livre A2,A2,Livre/Crawl|Peito,,,structured_from_source,READY,Treinos_10_12,27
RKF-10-12-26-B04,RKF-10-12-26,4,Desenvolvimento,Bloco 4,800,800: 8x100 alternando borbo/costas e peito/livre,,Livre/Crawl|Costas|Peito|Borboleta,,,structured_from_source,READY,Treinos_10_12,27
RKF-10-12-26-B05,RKF-10-12-26,5,Desenvolvimento,Bloco 5,200,200: 8x25 transições IM,,,,,structured_from_source,READY,Treinos_10_12,27
RKF-10-12-26-B06,RKF-10-12-26,6,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,27
RKF-10-12-27-B01,RKF-10-12-27,1,Aquecimento,Aquecimento,600,600 aquecimento,,,,,structured_from_source,READY,Treinos_10_12,28
RKF-10-12-27-B02,RKF-10-12-27,2,Desenvolvimento,Bloco 2,1200,1200: 4x300 =100 perna IM+100 nado IM+100 livre A2,A2,Livre/Crawl,,Perna,structured_from_source,READY,Treinos_10_12,28
RKF-10-12-27-B03,RKF-10-12-27,3,Desenvolvimento,Bloco 3,800,800: 8x100 =50 perna estilo+50 nado mesmo estilo,,,,Perna,structured_from_source,READY,Treinos_10_12,28
RKF-10-12-27-B04,RKF-10-12-27,4,Desenvolvimento,Bloco 4,600,600: 4x150 =50 perna+50 estilo+50 livre progressivo,,Livre/Crawl,,Perna,structured_from_source,READY,Treinos_10_12,28
RKF-10-12-27-B05,RKF-10-12-27,5,Desenvolvimento,Bloco 5,200,200: 8x25 submerso/breakout,,,,Submerso|Breakout,structured_from_source,READY,Treinos_10_12,28
RKF-10-12-27-B06,RKF-10-12-27,6,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,28
RKF-10-12-28-B01,RKF-10-12-28,1,Aquecimento,Aquecimento,600,600 aquecimento,,,,,structured_from_source,READY,Treinos_10_12,29
RKF-10-12-28-B02,RKF-10-12-28,2,Desenvolvimento,Bloco 2,800,800: 8x100 =50 pull livre palmar P+50 estilo,,Livre/Crawl,Palmar,,structured_from_source,READY,Treinos_10_12,29
RKF-10-12-28-B03,RKF-10-12-28,3,Desenvolvimento,Bloco 3,900,900: 6x150 =50 braço unilateral estilo+50 nado estilo+50 livre,,Livre/Crawl,,,structured_from_source,READY,Treinos_10_12,29
RKF-10-12-28-B04,RKF-10-12-28,4,Desenvolvimento,Bloco 4,800,800: 4x200 IM negative split técnico,,Medley,,,structured_from_source,READY,Treinos_10_12,29
RKF-10-12-28-B05,RKF-10-12-28,5,Desenvolvimento,Bloco 5,200,200: 8x25 scull/pegada,,,,Scull,structured_from_source,READY,Treinos_10_12,29
RKF-10-12-28-B06,RKF-10-12-28,6,Regenerativo,Regenerativo,200,200 regenerativo,,,,,structured_from_source,READY,Treinos_10_12,29
RKF-10-12-29-B01,RKF-10-12-29,1,Aquecimento,Aquecimento,600,600 aquecimento,,,,,structured_from_source,READY,Treinos_10_12,30
