session_id,title,volume_proposed_m,volume_audited_m,difference_m,audit_status,source_sheet,source_row,age_band,periodization_compatibility,profile,session_type,objective,zone_intention_raw,zones,styles,materials,skills,load_pse,block_count,machine_status,app_selectable,selection_features,adaptation_rules,schema_version
RKF-10-12-11,Progressivos de 100,3800,3800,0,OK — EXATO,Treinos_10_12,12,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Progressivos de 100,A1→A2→A2 forte; progressivos,A2|A1,Livre/Crawl|Costas,,Perna,,4,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Costas;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-12,400s para formação,4100,4100,0,OK — EXATO,Treinos_10_12,13,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,400s para formação,A1/A2; variação interna,A2|A1,Livre/Crawl|Costas|Medley,,Perna,,4,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Costas|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-13,Mudança de distância,3700,3700,0,OK — EXATO,Treinos_10_12,14,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Mudança de distância,A2; progressivos,A2,,,,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2;styles=NA;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-14,Quatro estilos + velocidade,3200,3200,0,OK — EXATO,Treinos_10_12,15,10–12,Linear / desenvolvimento técnico,Geral,Velocidade,Quatro estilos + velocidade,Estilos + velocidade curta,A2,Livre/Crawl|Costas|Peito|Borboleta,,,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Velocidade;zones=A2;styles=Livre/Crawl|Costas|Peito|Borboleta;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-15,800 + 400 + 200 + 100,3700,3700,0,OK — EXATO,Treinos_10_12,16,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,800 + 400 + 200 + 100,A1/A2; progressão por distância,A2|A1,,,,,8,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=NA;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-16,Misto perna/braço/nado,3600,3600,0,OK — EXATO,Treinos_10_12,17,10–12,Linear / desenvolvimento técnico,Geral,Misto,Misto perna/braço/nado,Integração multicomponente,A2,Livre/Crawl,,Perna,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=A2;styles=Livre/Crawl;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-17,Negative split,3900,3900,0,OK — EXATO,Treinos_10_12,18,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Negative split,A1/A2; negative split,A2|A1,,,,,7,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=NA;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-18,Broken + habilidades,3300,3300,0,OK — EXATO,Treinos_10_12,19,10–12,Linear / desenvolvimento técnico,Geral,Técnica/Fundamentos,Broken + habilidades,Broken aeróbio + técnica,,,,Breakout|Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Técnica/Fundamentos;zones=NA;styles=NA;skills=Breakout|Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-19,Aeróbio multilateral,4200,4200,0,OK — EXATO,Treinos_10_12,20,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Aeróbio multilateral,A1/A2; multilateral,A2|A1,Livre/Crawl|Costas,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Costas;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-20,Sessão completa e variada,4000,4000,0,OK — EXATO,Treinos_10_12,21,10–12,Linear / desenvolvimento técnico,Geral,Velocidade,Sessão completa e variada,A1/A2 + velocidade curta,A2|A1,Livre/Crawl|Medley,,Perna,,9,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Velocidade;zones=A2|A1;styles=Livre/Crawl|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-21,Medley técnico + livre,3400,3400,0,OK — EXATO,Treinos_10_12,22,10–12,Linear / desenvolvimento técnico,Geral,Técnica/Fundamentos,Medley técnico + livre,A1/A2; técnica 4 estilos,A2|A1,Livre/Crawl|Medley,,,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Técnica/Fundamentos;zones=A2|A1;styles=Livre/Crawl|Medley;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-22,IM por blocos + perna,3600,3600,0,OK — EXATO,Treinos_10_12,23,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,IM por blocos + perna,A1/A2; perna 4 estilos,A2|A1,Livre/Crawl|Costas|Peito|Borboleta|Medley,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Costas|Peito|Borboleta|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-23,Escada IM,3800,3800,0,OK — EXATO,Treinos_10_12,24,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Escada IM,A1→A2; distâncias,A2|A1,Livre/Crawl|Medley,,,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Medley;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-24,Medley + progressivos de 100,3600,3600,0,OK — EXATO,Treinos_10_12,25,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Medley + progressivos de 100,A1/A2; progressivos,A2|A1,Livre/Crawl|Medley,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-25,400s de medley,4000,4000,0,OK — EXATO,Treinos_10_12,26,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,400s de medley,A1/A2; 400 variados,A2|A1,Livre/Crawl|Medley,,Perna,,4,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-26,Pares de estilos,3400,3400,0,OK — EXATO,Treinos_10_12,27,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Pares de estilos,A1/A2; estilos pareados,A2|A1,Livre/Crawl|Costas|Peito|Borboleta|Medley,,,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Costas|Peito|Borboleta|Medley;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-27,Perna IM → nado IM,3600,3600,0,OK — EXATO,Treinos_10_12,28,10–12,Linear / desenvolvimento técnico,Geral,Misto,Perna IM → nado IM,Perna + transferência,A2,Livre/Crawl|Medley,,Submerso|Breakout|Perna,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=A2;styles=Livre/Crawl|Medley;skills=Submerso|Breakout|Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-28,Braço + medley,3500,3500,0,OK — EXATO,Treinos_10_12,29,10–12,Linear / desenvolvimento técnico,Geral,Técnica/Fundamentos,Braço + medley,Força propulsiva técnica,,Livre/Crawl|Medley,Palmar,Scull,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Técnica/Fundamentos;zones=NA;styles=Livre/Crawl|Medley;skills=Scull,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-29,Broken 800 medley,4000,4000,0,OK — EXATO,Treinos_10_12,30,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Broken 800 medley,A1/A2; broken,A2|A1,Livre/Crawl|Medley,,,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Medley;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-30,Medley descendente,3800,3800,0,OK — EXATO,Treinos_10_12,31,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Medley descendente,A1→A2 forte,A2|A1,Livre/Crawl|Medley,,,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Medley;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-31,IM + força especial leve,3400,3400,0,OK — EXATO,Treinos_10_12,32,10–12,Linear / desenvolvimento técnico,Geral,Misto,IM + força especial leve,Força leve + transferência,A2,Livre/Crawl|Medley,Palmar|Paraquedas,,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=A2;styles=Livre/Crawl|Medley;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-32,Medley aeróbio longo,4200,4200,0,OK — EXATO,Treinos_10_12,33,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Medley aeróbio longo,A1/A2; sustentação,A2|A1,Livre/Crawl|Medley,,,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Medley;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-33,150s multimedley,3600,3600,0,OK — EXATO,Treinos_10_12,34,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,150s multimedley,A1/A2; combinações,A2|A1,Livre/Crawl|Costas|Peito|Borboleta|Medley,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Costas|Peito|Borboleta|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-34,100s IM progressivos,3800,3800,0,OK — EXATO,Treinos_10_12,35,10–12,Linear / desenvolvimento técnico,Geral,Misto,100s IM progressivos,Progressivos 1–4,,Livre/Crawl|Medley,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=NA;styles=Livre/Crawl|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-35,Pirâmide medley,4000,4000,0,OK — EXATO,Treinos_10_12,36,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Pirâmide medley,A1/A2; pirâmide,A2|A1,Livre/Crawl|Medley,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-36,Medley + viradas/submersos,3200,3200,0,OK — EXATO,Treinos_10_12,37,10–12,Linear / desenvolvimento técnico,Geral,Técnica/Fundamentos,Medley + viradas/submersos,Habilidade + A1/A2,A2|A1,Livre/Crawl|Medley,,Submerso|Breakout,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Técnica/Fundamentos;zones=A2|A1;styles=Livre/Crawl|Medley;skills=Submerso|Breakout,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-37,IM reverso + normal,3600,3600,0,OK — EXATO,Treinos_10_12,38,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,IM reverso + normal,Coordenação; A1/A2,A2|A1,Livre/Crawl|Medley,,Coordenação,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Medley;skills=Coordenação,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-38,Medley com 600s,4200,4200,0,OK — EXATO,Treinos_10_12,39,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Medley com 600s,A1/A2; blocos longos,A2|A1,Livre/Crawl|Medley,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-39,Estilo fraco + IM,3500,3500,0,OK — EXATO,Treinos_10_12,40,10–12,Linear / desenvolvimento técnico,Geral,Misto,Estilo fraco + IM,Correção individual,A2,Livre/Crawl|Medley,,,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=A2;styles=Livre/Crawl|Medley;skills=NA,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-40,Festival IM integrado,4000,4000,0,OK — EXATO,Treinos_10_12,41,10–12,Linear / desenvolvimento técnico,Geral,Misto,Festival IM integrado,Multilateral; progressão,A2,Livre/Crawl|Medley,,Perna,,8,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=A2;styles=Livre/Crawl|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-41,Pernada presente no nado,3400,3400,0,OK — EXATO,Treinos_10_12,42,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Pernada presente no nado,Perna → nado; A1/A2,A2|A1,Livre/Crawl|Costas,,Streamline|Perna,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=Livre/Crawl|Costas;skills=Streamline|Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-42,Perna → velocidade,3500,3500,0,OK — EXATO,Treinos_10_12,43,10–12,Linear / desenvolvimento técnico,Geral,Velocidade,Perna → velocidade,Transferência + velocidade,A2,,,Perna,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Velocidade;zones=A2;styles=NA;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-43,Perna dos quatro estilos,3400,3400,0,OK — EXATO,Treinos_10_12,44,10–12,Linear / desenvolvimento técnico,Geral,Misto,Perna dos quatro estilos,Perna IM + transferência,,Livre/Crawl|Costas|Peito|Borboleta|Medley,,Submerso|Breakout|Perna,,7,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=NA;styles=Livre/Crawl|Costas|Peito|Borboleta|Medley;skills=Submerso|Breakout|Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-44,100s progressivos com perna,3600,3600,0,OK — EXATO,Treinos_10_12,45,10–12,Linear / desenvolvimento técnico,Geral,Misto,100s progressivos com perna,Progressivos + pernas,A2|A1,,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=A2|A1;styles=NA;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-45,Blocos de 400,3800,3800,0,OK — EXATO,Treinos_10_12,46,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Blocos de 400,A1/A2; transferência longa,A2|A1,,,Perna,,4,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=NA;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-46,Perna submersa → superfície,3200,3200,0,OK — EXATO,Treinos_10_12,47,10–12,Linear / desenvolvimento técnico,Geral,Misto,Perna submersa → superfície,Submerso + transferência,A1,,,Streamline|Submerso|Breakout|Perna,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=A1;styles=NA;skills=Streamline|Submerso|Breakout|Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-47,Aeróbio com pernas ativas,4000,4000,0,OK — EXATO,Treinos_10_12,48,10–12,Linear / desenvolvimento técnico,Geral,Aeróbio,Aeróbio com pernas ativas,A1/A2; pernas sustentadas,A2|A1,,,Perna,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Aeróbio;zones=A2|A1;styles=NA;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-48,Pernada de costas + livre,3400,3400,0,OK — EXATO,Treinos_10_12,49,10–12,Linear / desenvolvimento técnico,Geral,Misto,Pernada de costas + livre,Costas/livre; transferência,,Livre/Crawl|Costas,,Streamline|Perna,,6,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=NA;styles=Livre/Crawl|Costas;skills=Streamline|Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-49,Perna → nado → perna → nado,3600,3600,0,OK — EXATO,Treinos_10_12,50,10–12,Linear / desenvolvimento técnico,Geral,Misto,Perna → nado → perna → nado,Transferência repetida,A2,Medley,,Perna,,5,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=A2;styles=Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-50,Velocidade nasce das pernas,3200,3200,0,OK — EXATO,Treinos_10_12,51,10–12,Linear / desenvolvimento técnico,Geral,Velocidade,Velocidade nasce das pernas,Perna + velocidade curta,A2|A1,,,Breakout|Perna,,7,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Velocidade;zones=A2|A1;styles=NA;skills=Breakout|Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
RKF-10-12-51,Perna IM + transferência,3600,3600,0,OK — EXATO,Treinos_10_12,52,10–12,Linear / desenvolvimento técnico,Geral,Misto,Perna IM + transferência,IM; pernas ativas,,Livre/Crawl|Medley,,Perna,,7,READY_WHOLE|BLOCKS_EXACT,YES,age=10–12;profile=Geral;type=Misto;zones=NA;styles=Livre/Crawl|Medley;skills=Perna,"Sessão e blocos normalizados: pode usar integralmente ou recombinar blocos preservando objetivo, zona dominante, perfil, fase e regras RKF.",RKF_V5.0
